Ubicacion,Tipo
coruna conde,Municipio
covarrubias,Municipio
cubillo campo,Municipio
cubo bureba,Municipio
cueva,Municipio
cuevas clemente,Municipio
encio,Municipio
espinosa cervera,Municipio
espinosa monteros,Municipio
espinosa camino,Municipio
estepar,Municipio
fontioso,Municipio
frandovinez,Municipio
fresneda sierra tiron,Municipio
fresnena,Municipio
fresnillo duenas,Municipio
fresno tiron,Municipio
fresno rodilla,Municipio
frias,Municipio
fuentebureba,Municipio
fuentecen,Municipio
fuentelcesped,Municipio
fuentelisendo,Municipio
fuentemolinos,Municipio
fuentenebro,Municipio
fuentespina,Municipio
galbarros,Municipio
gallega,Municipio
grijalba,Municipio
grisalena,Municipio
gumiel izan,Municipio
gumiel mercado,Municipio
hacinas,Municipio
haza,Municipio
hontanas,Municipio
hontangas,Municipio
hontoria cantera,Municipio
hontoria valdearados,Municipio
hontoria pinar,Municipio
hormazas,Municipio
hornillos camino,Municipio
horra,Municipio
hortiguela,Municipio
hoyales,Municipio
huermeces,Municipio
huerta,Municipio
huerta,Municipio
humada,Municipio
hurones,Municipio
ibeas juarros,Municipio
ibrillos,Municipio
iglesiarrubia,Municipio
iglesias,Municipio
isar,Municipio
itero castillo,Municipio
jaramillo fuente,Municipio
jaramillo quemado,Municipio
junta traslaloma,Municipio
junta villalba losa,Municipio
jurisdiccion lara,Municipio
jurisdiccion zadornil,Municipio
lerma,Municipio
llano bureba,Municipio
madrigal monte,Municipio
madrigalejo monte,Municipio
mahamud,Municipio
mambrilla castrejon,Municipio
mambrillas lara,Municipio
mamolar,Municipio
manciles,Municipio
mazuela,Municipio
mecerreyes,Municipio
medina pomar,Municipio
melgar fernamental,Municipio
merindad cuesta urria,Municipio
merindad montija,Municipio
merindad ubierna,Municipio
merindad sotoscueva,Municipio
merindad valdeporres,Municipio
merindad valdivielso,Municipio
milagros,Municipio
miranda ebro,Municipio
miraveche,Municipio
modubar emparedada,Municipio
monasterio sierra,Municipio
monasterio rodilla,Municipio
moncalvillo,Municipio
monterrubio demanda,Municipio
montorio,Municipio
moradillo,Municipio
nava,Municipio
navas bureba,Municipio
nebreda,Municipio
neila,Municipio
olmedillo,Municipio
olmillos muno,Municipio
,Municipio
oquillas,Municipio
orbaneja riopico,Municipio
padilla abajo,Municipio
padilla,Municipio
padrones bureba,Municipio
palacios sierra,Municipio
palacios riopisuerga,Municipio
palazuelos sierra,Municipio
palazuelos muno,Municipio
pampliega,Municipio
pancorbo,Municipio
pardilla,Municipio
partido sierra tobalina,Municipio
pedrosa duero,Municipio
pedrosa urbel,Municipio
pedrosa paramo,Municipio
pedrosa principe,Municipio
penaranda duero,Municipio
peral arlanza,Municipio
piernigas,Municipio
pineda sierra,Municipio
pineda trasmonte,Municipio
pinilla barruecos,Municipio
pinilla moros,Municipio
pinilla trasmonte,Municipio
poza,Municipio
pradanos bureba,Municipio
pradoluengo,Municipio
presencio,Municipio
puebla arganzon,Municipio
puentedura,Municipio
quemada,Municipio
quintana pidio,Municipio
quintanabureba,Municipio
quintanaelez,Municipio
quintanaortuno,Municipio
quintanapalla,Municipio
quintanar sierra,Municipio
quintanavides,Municipio
quintanilla mata,Municipio
quintanilla agua tordueles,Municipio
quintanilla coco,Municipio
quintanilla garcia,Municipio
quintanilla vivar,Municipio
quintanillas,Municipio
rabanera pinar,Municipio
rabanos,Municipio
rabe calzadas,Municipio
rebolledo torre,Municipio
redecilla camino,Municipio
redecilla campo,Municipio
regumiel sierra,Municipio
reinoso,Municipio
retuerta,Municipio
revilla campo,Municipio
revilla vallejera,Municipio
revilla ahedo,Municipio
revillarruz,Municipio
rezmondo,Municipio
riocavado sierra,Municipio
,Municipio
rojas,Municipio
royuela franco,Municipio
rubena,Municipio
rublacedo abajo,Municipio
rucandio,Municipio
salas bureba,Municipio
salas infantes,Municipio
saldana burgos,Municipio
salinillas bureba,Municipio
adrian juarros,Municipio
juan monte,Municipio
mames burgos,Municipio
martin rubiales,Municipio
millan lara,Municipio
vicente valle,Municipio
santa cecilia,Municipio
santa cruz salceda,Municipio
santa cruz valle urbion,Municipio
santa gadea,Municipio
santa ines,Municipio
santa maria campo,Municipio
santa maria invierno,Municipio
santa maria mercadillo,Municipio
santa maria rivarredonda,Municipio
santa olalla bureba,Municipio
santibanez esgueva,Municipio
santibanez,Municipio
santo domingo silos,Municipio
sargentes lora,Municipio
sarracin,Municipio
sasamon,Municipio
sequera haza,Municipio
solarana,Municipio
sordillos,Municipio
sotillo ribera,Municipio
sotragero,Municipio
sotresgudo,Municipio
susinos paramo,Municipio
tamaron,Municipio
tardajos,Municipio
tejada,Municipio
terradillos esgueva,Municipio
tinieblas sierra,Municipio
tobar,Municipio
tordomar,Municipio
torrecilla monte,Municipio
torregalindo,Municipio
torrelara,Municipio
torrepadre,Municipio
torresandino,Municipio
tortoles esgueva,Municipio
tosantos,Municipio
trespaderne,Municipio
tubilla agua,Municipio
tubilla lago,Municipio
urbel castillo,Municipio
vadocondes,Municipio
valdeande,Municipio
valdezate,Municipio
valdorros,Municipio
vallarta bureba,Municipio
valle navas,Municipio
valle losa,Municipio
valle manzanedo,Municipio
valle mena,Municipio
valle,Municipio
valle santibanez,Municipio
valle sedano,Municipio
valle tobalina,Municipio
valle valdebezana,Municipio
valle valdelaguna,Municipio
valle valdelucio,Municipio
valle zamanzas,Municipio
vallejera,Municipio
valles palenzuela,Municipio
valluercanes,Municipio
valmala,Municipio
bureba,Municipio
barrios,Municipio
vilena,Municipio
villadiego,Municipio
villaescusa,Municipio
villaescusa sombria,Municipio
villaespasa,Municipio
villafranca montes,Municipio
villafruela,Municipio
villagalijo,Municipio
villagonzalo pedernales,Municipio
villahoz,Municipio
villalba duero,Municipio
villalbilla burgos,Municipio
villalbilla gumiel,Municipio
villaldemiro,Municipio
villalmanzo,Municipio
villamayor montes,Municipio
villamayor trevino,Municipio
villambistia,Municipio
villamedianilla,Municipio
villamiel sierra,Municipio
villangomez,Municipio
villanueva argano,Municipio
villanueva carazo,Municipio
villanueva gumiel,Municipio
villanueva teba,Municipio
villaquiran puebla,Municipio
villaquiran infantes,Municipio
villarcayo merindad castilla vieja,Municipio
villariezo,Municipio
villasandino,Municipio
villasur herreros,Municipio
villatuelda,Municipio
villaverde monte,Municipio
villaverde mogina,Municipio
villayerno morquillas,Municipio
villazopeque,Municipio
villegas,Municipio
villoruebo,Municipio
viloria rioja,Municipio
vilviestre pinar,Municipio
vizcainos,Municipio
zael,Municipio
zarzosa pisuerga,Municipio
zazuar,Municipio
zuneda,Municipio
abadia,Municipio
abertura,Municipio
acebo,Municipio
acehuche,Municipio
aceituna,Municipio
ahigal,Municipio
albala,Municipio
alcantara,Municipio
alcollarin,Municipio
alcuescar,Municipio
aldea cano,Municipio
aldea obispo,Municipio
aldeacentenera,Municipio
aldeanueva vera,Municipio
aldeanueva camino,Municipio
aldehuela jerte,Municipio
alia,Municipio
aliseda,Municipio
almaraz,Municipio
almoharin,Municipio
arroyo,Municipio
arroyomolinos,Municipio
arroyomolinos vera,Municipio
banos montemayor,Municipio
barrado,Municipio
belvis monroy,Municipio
benquerencia,Municipio
berrocalejo,Municipio
berzocana,Municipio
bohonal ibor,Municipio
botija,Municipio
brozas,Municipio
cabanas castillo,Municipio
cabezabellosa,Municipio
cabezuela valle,Municipio
cabrero,Municipio
caceres,Municipio
cachorrilla,Municipio
cadalso,Municipio
calzadilla,Municipio
caminomorisco,Municipio
campillo deleitosa,Municipio
campo,Municipio
canamero,Municipio
canaveral,Municipio
carbajo,Municipio
carcaboso,Municipio
carrascalejo,Municipio
casar caceres,Municipio
casar palomero,Municipio
casares hurdes,Municipio
casas antonio,Municipio
casas gomez,Municipio
casas millan,Municipio
casas miravete,Municipio
casas castanar,Municipio
casas monte,Municipio
casatejada,Municipio
casillas coria,Municipio
castanar ibor,Municipio
ceclavin,Municipio
cedillo,Municipio
cerezo,Municipio
cilleros,Municipio
collado,Municipio
conquista sierra,Municipio
coria,Municipio
cuacos yuste,Municipio
cumbre,Municipio
deleitosa,Municipio
descargamaria,Municipio
eljas,Municipio
escurial,Municipio
fresnedoso ibor,Municipio
galisteo,Municipio
garciaz,Municipio
garganta,Municipio
garganta olla,Municipio
gargantilla,Municipio
garguera,Municipio
garrovillas alconetar,Municipio
garvin,Municipio
gata,Municipio
gordo,Municipio
granja,Municipio
guadalupe,Municipio
guijo coria,Municipio
guijo galisteo,Municipio
guijo granadilla,Municipio
guijo santa barbara,Municipio
herguijuela,Municipio
hernan perez,Municipio
herrera alcantara,Municipio
herreruela,Municipio
hervas,Municipio
higuera,Municipio
hinojal,Municipio
holguera,Municipio
hoyos,Municipio
huelaga,Municipio
ibahernando,Municipio
jaraicejo,Municipio
jaraiz vera,Municipio
jarandilla vera,Municipio
jarilla,Municipio
jerte,Municipio
ladrillar,Municipio
logrosan,Municipio
losar vera,Municipio
madrigal vera,Municipio
madrigalejo,Municipio
madronera,Municipio
majadas,Municipio
malpartida caceres,Municipio
malpartida plasencia,Municipio
marchagaz,Municipio
mata alcantara,Municipio
membrio,Municipio
mesas ibor,Municipio
miajadas,Municipio
millanes,Municipio
mirabel,Municipio
mohedas granadilla,Municipio
monroy,Municipio
montanchez,Municipio
montehermoso,Municipio
moraleja,Municipio
morcillo,Municipio
navaconcejo,Municipio
navalmoral mata,Municipio
navalvillar ibor,Municipio
navas madrono,Municipio
navezuelas,Municipio
nunomoral,Municipio
oliva plasencia,Municipio
palomero,Municipio
pasaron vera,Municipio
pedroso acim,Municipio
peraleda mata,Municipio
peraleda roman,Municipio
perales puerto,Municipio
pescueza,Municipio
pesga,Municipio
piedras albas,Municipio
pinofranqueado,Municipio
piornal,Municipio
plasencia,Municipio
plasenzuela,Municipio
portaje,Municipio
portezuelo,Municipio
pozuelo zarzon,Municipio
puerto santa cruz,Municipio
rebollar,Municipio
riolobos,Municipio
robledillo gata,Municipio
robledillo vera,Municipio
robledillo trujillo,Municipio
robledollano,Municipio
romangordo,Municipio
rosalejo,Municipio
ruanes,Municipio
salorino,Municipio
salvatierra santiago,Municipio
martin trevejo,Municipio
santa,Municipio
santa cruz sierra,Municipio
santa cruz paniagua,Municipio
santa marta magasca,Municipio
santiago alcantara,Municipio
santiago campo,Municipio
santibanez alto,Municipio
santibanez,Municipio
saucedilla,Municipio
segura toro,Municipio
serradilla,Municipio
serrejon,Municipio
sierra fuentes,Municipio
talavan,Municipio
talaveruela vera,Municipio
talayuela,Municipio
tejeda tietar,Municipio
toril,Municipio
tornavacas,Municipio
torno,Municipio
torre miguel,Municipio
torre santa maria,Municipio
torrecilla angeles,Municipio
torrecillas tiesa,Municipio
torrejon rubio,Municipio
torrejoncillo,Municipio
torremenga,Municipio
torremocha,Municipio
torreorgaz,Municipio
torrequemada,Municipio
trujillo,Municipio
valdastillas,Municipio
valdecanas tajo,Municipio
valdefuentes,Municipio
valdehuncar,Municipio
valdelacasa tajo,Municipio
valdemorales,Municipio
valdeobispo,Municipio
valencia alcantara,Municipio
valverde vera,Municipio
valverde fresno,Municipio
viandar vera,Municipio
villa campo,Municipio
villa,Municipio
villamesias,Municipio
villamiel,Municipio
villanueva sierra,Municipio
villanueva vera,Municipio
villar plasencia,Municipio
villar pedroso,Municipio
villasbuenas gata,Municipio
zarza granadilla,Municipio
zarza montanchez,Municipio
zarza,Municipio
zorita,Municipio
alcala gazules,Municipio
alcala valle,Municipio
algar,Municipio
algeciras,Municipio
algodonales,Municipio
arcos frontera,Municipio
barbate,Municipio
barrios,Municipio
benalup casas viejas,Municipio
benaocaz,Municipio
bornos,Municipio
bosque,Municipio
cadiz,Municipio
castellar frontera,Municipio
chiclana frontera,Municipio
chipiona,Municipio
conil frontera,Municipio
espera,Municipio
gastor,Municipio
grazalema,Municipio
jerez frontera,Municipio
jimena frontera,Municipio
linea concepcion,Municipio
medina sidonia,Municipio
olvera,Municipio
paterna rivera,Municipio
prado,Municipio
puerto santa maria,Municipio
puerto real,Municipio
puerto serrano,Municipio
rota,Municipio
fernando,Municipio
jose valle,Municipio
roque,Municipio
sanlucar barrameda,Municipio
setenil bodegas,Municipio
tarifa,Municipio
torre alhaquime,Municipio
trebujena,Municipio
ubrique,Municipio
vejer frontera,Municipio
villaluenga rosario,Municipio
villamartin,Municipio
zahara,Municipio
,Municipio
albocasser,Municipio
alcala xivert,Municipio
alcora,Municipio
alcudia,Municipio
alfondeguilla,Municipio
algimia almonacid,Municipio
almazora almassora,Municipio
almedijar,Municipio
almenara,Municipio
alquerias nino perdido,Municipio
altura,Municipio
aranuel,Municipio
ares maestre,Municipio
argelita,Municipio
artana,Municipio
atzeneta maestrat,Municipio
ayodar,Municipio
azuebar,Municipio
barracas,Municipio
bejis,Municipio
benafer,Municipio
benafigos,Municipio
benasal,Municipio
benicarlo,Municipio
benicasim benicassim,Municipio
benlloch,Municipio
betxi,Municipio
borriol,Municipio
burriana,Municipio
cabanes,Municipio
calig,Municipio
canet roig,Municipio
castell cabres,Municipio
castellfort,Municipio
castellnovo,Municipio
castellon plana castello plana,Municipio
castillo villamalefa,Municipio
cati,Municipio
caudiel,Municipio
cervera maestre,Municipio
chert xert,Municipio
chilches xilxes,Municipio
chodos xodos,Municipio
chovar,Municipio
cinctorres,Municipio
cirat,Municipio
cortes arenoso,Municipio
costur,Municipio
coves vinroma,Municipio
culla,Municipio
eslida,Municipio
espadilla,Municipio
fanzara,Municipio
figueroles,Municipio
forcall,Municipio
fuente reina,Municipio
fuentes ayodar,Municipio
gaibiel,Municipio
geldo,Municipio
herbes,Municipio
higueras,Municipio
jana,Municipio
jerica,Municipio
llosa,Municipio
lucena,Municipio
ludiente,Municipio
mata morella,Municipio
matet,Municipio
moncofa,Municipio
montan,Municipio
montanejos,Municipio
morella,Municipio
navajas,Municipio
nules,Municipio
olocau,Municipio
onda,Municipio
oropesa orpesa,Municipio
palanques,Municipio
pavias,Municipio
peniscola,Municipio
pina montalgrao,Municipio
pobla benifassa,Municipio
pobla tornesa,Municipio
portell morella,Municipio
puebla arenoso,Municipio
ribesalbes,Municipio
rossell,Municipio
sacanet,Municipio
salzadella,Municipio
rafael,Municipio
sant joan moro,Municipio
sant jordi jorge,Municipio
sant mateu,Municipio
santa magdalena pulpis,Municipio
sarratella,Municipio
segorbe,Municipio
sierra engarceran,Municipio
soneja,Municipio
ferrer,Municipio
sueras suera,Municipio
tales,Municipio
teresa,Municipio
tirig,Municipio
todolella,Municipio
toga,Municipio
toras,Municipio
toro,Municipio
torralba pinar,Municipio
torre besora,Municipio
torre endomenech,Municipio
torreblanca,Municipio
torrechiva,Municipio
traiguera,Municipio
useras useres,Municipio
vall,Municipio
vall almonacid,Municipio
vall,Municipio
vallat,Municipio
vallibona,Municipio
vilafames,Municipio
vilanova,Municipio
vilar canes,Municipio
vilavella,Municipio
villafranca vilafranca,Municipio
villahermosa,Municipio
villamalur,Municipio
villanueva viver,Municipio
villarreal vila real,Municipio
villores,Municipio
vinaros,Municipio
vistabella maestrazgo,Municipio
viver,Municipio
zorita maestrazgo,Municipio
zucaina,Municipio
abenojar,Municipio
agudo,Municipio
alamillo,Municipio
albaladejo,Municipio
alcazar juan,Municipio
alcoba,Municipio
alcolea calatrava,Municipio
alcubillas,Municipio
aldea,Municipio
alhambra,Municipio
almaden,Municipio
almadenejos,Municipio
almagro,Municipio
almedina,Municipio
almodovar campo,Municipio
almuradiel,Municipio
anchuras,Municipio
arenales gregorio,Municipio
arenas juan,Municipio
argamasilla alba,Municipio
argamasilla calatrava,Municipio
arroba montes,Municipio
ballesteros calatrava,Municipio
bolanos calatrava,Municipio
brazatortas,Municipio
cabezarados,Municipio
cabezarrubias puerto,Municipio
calzada calatrava,Municipio
campo criptana,Municipio
canada calatrava,Municipio
caracuel calatrava,Municipio
carrion calatrava,Municipio
carrizosa,Municipio
castellar santiago,Municipio
chillon,Municipio
ciudad real,Municipio
corral calatrava,Municipio
cortijos,Municipio
cozar,Municipio
daimiel,Municipio
fernan caballero,Municipio
fontanarejo,Municipio
fuencaliente,Municipio
fuenllana,Municipio
fuente fresno,Municipio
granatula calatrava,Municipio
guadalmez,Municipio
herencia,Municipio
hinojosas calatrava,Municipio
horcajo montes,Municipio
labores,Municipio
llanos caudillo,Municipio
luciana,Municipio
malagon,Municipio
manzanares,Municipio
membrilla,Municipio
mestanza,Municipio
miguelturra,Municipio
montiel,Municipio
moral calatrava,Municipio
navalpino,Municipio
navas estena,Municipio
pedro munoz,Municipio
picon,Municipio
piedrabuena,Municipio
poblete,Municipio
porzuna,Municipio
pozuelo calatrava,Municipio
pozuelos calatrava,Municipio
puebla rodrigo,Municipio
puebla principe,Municipio
puerto lapice,Municipio
puertollano,Municipio
retuerta bullaque,Municipio
robledo,Municipio
ruidera,Municipio
saceruela,Municipio
carlos valle,Municipio
lorenzo calatrava,Municipio
santa cruz canamos,Municipio
santa cruz mudela,Municipio
socuellamos,Municipio
solana,Municipio
solana pino,Municipio
terrinches,Municipio
tomelloso,Municipio
torralba calatrava,Municipio
torre juan abad,Municipio
torrenueva,Municipio
valdemanco esteras,Municipio
valdepenas,Municipio
valenzuela calatrava,Municipio
villahermosa,Municipio
villamanrique,Municipio
villamayor calatrava,Municipio
villanueva fuente,Municipio
villanueva infantes,Municipio
villanueva carlos,Municipio
villar pozo,Municipio
villarrubia ojos,Municipio
villarta juan,Municipio
viso marques,Municipio
adamuz,Municipio
aguilar frontera,Municipio
alcaracejos,Municipio
almedinilla,Municipio
almodovar,Municipio
anora,Municipio
baena,Municipio
belalcazar,Municipio
belmez,Municipio
benameji,Municipio
blazquez,Municipio
bujalance,Municipio
cabra,Municipio
canete torres,Municipio
carcabuey,Municipio
cardena,Municipio
carlota,Municipio
carpio,Municipio
castro,Municipio
conquista,Municipio
cordoba,Municipio
dona mencia,Municipio
torres,Municipio
encinas reales,Municipio
espejo,Municipio
espiel,Municipio
fernan nunez,Municipio
fuente lancha,Municipio
fuente obejuna,Municipio
fuente palmera,Municipio
fuente tojar,Municipio
granjuela,Municipio
guadalcazar,Municipio
guijo,Municipio
hinojosa duque,Municipio
hornachuelos,Municipio
iznajar,Municipio
lucena,Municipio
luque,Municipio
montalban cordoba,Municipio
montemayor,Municipio
montilla,Municipio
montoro,Municipio
monturque,Municipio
moriles,Municipio
carteya,Municipio
obejo,Municipio
palenciana,Municipio
palma,Municipio
pedro abad,Municipio
pedroche,Municipio
penarroya pueblonuevo,Municipio
posadas,Municipio
pozoblanco,Municipio
priego cordoba,Municipio
puente genil,Municipio
rambla,Municipio
rute,Municipio
sebastian ballesteros,Municipio
santa eufemia,Municipio
santaella,Municipio
torrecampo,Municipio
valenzuela,Municipio
valsequillo,Municipio
victoria,Municipio
villa,Municipio
villafranca cordoba,Municipio
villaharta,Municipio
villanueva cordoba,Municipio
villanueva duque,Municipio
villanueva,Municipio
villaralto,Municipio
villaviciosa cordoba,Municipio
viso,Municipio
zuheros,Municipio
abegondo,Municipio
ames,Municipio
aranga,Municipio
ares,Municipio
arteixo,Municipio
arzua,Municipio
bana,Municipio
bergondo,Municipio
betanzos,Municipio
boimorto,Municipio
boiro,Municipio
boqueixon,Municipio
brion,Municipio
cabana bergantinos,Municipio
cabanas,Municipio
camarinas,Municipio
cambre,Municipio
capela,Municipio
carballo,Municipio
carino,Municipio
carnota,Municipio
carral,Municipio
cedeira,Municipio
,Municipio
cerceda,Municipio
cerdido,Municipio
cesuras,Municipio
coiros,Municipio
corcubion,Municipio
coristanco,Municipio
coruna,Municipio
culleredo,Municipio
curtis,Municipio
dodro,Municipio
dumbria,Municipio
fene,Municipio
ferrol,Municipio
fisterra,Municipio
frades,Municipio
irixoa,Municipio
laracha,Municipio
laxe,Municipio
lousame,Municipio
malpica bergantinos,Municipio
manon,Municipio
mazaricos,Municipio
melide,Municipio
mesia,Municipio
mino,Municipio
moeche,Municipio
monfero,Municipio
mugardos,Municipio
muros,Municipio
muxia,Municipio
naron,Municipio
neda,Municipio
negreira,Municipio
noia,Municipio
oleiros,Municipio
ordes,Municipio
oroso,Municipio
ortigueira,Municipio
outes,Municipio
rios,Municipio
paderne,Municipio
padron,Municipio
pino,Municipio
pobra caraminal,Municipio
ponteceso,Municipio
pontedeume,Municipio
pontes garcia rodriguez,Municipio
porto,Municipio
rianxo,Municipio
ribeira,Municipio
rois,Municipio
sada,Municipio
sadurnino,Municipio
santa comba,Municipio
santiago compostela,Municipio
santiso,Municipio
sobrado,Municipio
somozas,Municipio
,Municipio
toques,Municipio
tordoia,Municipio
touro,Municipio
trazo,Municipio
dubra,Municipio
valdovino,Municipio
vedra,Municipio
vilarmaior,Municipio
vilasantar,Municipio
vimianzo,Municipio
,Municipio
abia obispalia,Municipio
acebron,Municipio
alarcon,Municipio
albaladejo cuende,Municipio
albalate nogueras,Municipio
albendea,Municipio
alberca zancara,Municipio
alcala vega,Municipio
alcantud,Municipio
alcazar,Municipio
alcohujate,Municipio
alconchel estrella,Municipio
algarra,Municipio
aliaguilla,Municipio
almarcha,Municipio
almendros,Municipio
almodovar pinar,Municipio
almonacid marquesado,Municipio
altarejos,Municipio
arandilla arroyo,Municipio
arcas villar,Municipio
arcos sierra,Municipio
arguisuelas,Municipio
arrancacepas,Municipio
atalaya canavate,Municipio
barajas melo,Municipio
barchin hoyo,Municipio
bascunana pedro,Municipio
beamud,Municipio
belinchon,Municipio
belmonte,Municipio
belmontejo,Municipio
beteta,Municipio
boniches,Municipio
buciegas,Municipio
buenache alarcon,Municipio
buenache sierra,Municipio
buendia,Municipio
campillo altobuey,Municipio
campillos paravientos,Municipio
campillos sierra,Municipio
campos paraiso,Municipio
canalejas arroyo,Municipio
canada hoyo,Municipio
canada juncosa,Municipio
canamares,Municipio
canavate,Municipio
canaveras,Municipio
canaveruelas,Municipio
canete,Municipio
canizares,Municipio
carboneras guadazaon,Municipio
cardenete,Municipio
carrascosa,Municipio
carrascosa haro,Municipio
casas benitez,Municipio
casas fernando alonso,Municipio
casas garcimolina,Municipio
casas guijarro,Municipio
casas haro,Municipio
casas pinos,Municipio
casasimarro,Municipio
castejon,Municipio
castillejo iniesta,Municipio
castillejo sierra,Municipio
castillo garcimunoz,Municipio
castillo albaranez,Municipio
cervera llano,Municipio
chillaron cuenca,Municipio
chumillas,Municipio
cierva,Municipio
cuenca,Municipio
cueva hierro,Municipio
enguidanos,Municipio
fresneda altarejos,Municipio
fresneda sierra,Municipio
frontera,Municipio
fuente pedro naharro,Municipio
fuentelespino haro,Municipio
fuentelespino moya,Municipio
fuentenava jabaga,Municipio
fuentes,Municipio
fuertescusa,Municipio
gabaldon,Municipio
garaballa,Municipio
gascuena,Municipio
graja campalbo,Municipio
graja iniesta,Municipio
henarejos,Municipio
herrumblar,Municipio
hinojosa,Municipio
hinojosos,Municipio
hito,Municipio
honrubia,Municipio
hontanaya,Municipio
hontecillas,Municipio
horcajo santiago,Municipio
huelamo,Municipio
huelves,Municipio
huerguina,Municipio
huerta obispalia,Municipio
huerta marquesado,Municipio
huete,Municipio
iniesta,Municipio
laguna marquesado,Municipio
lagunaseca,Municipio
landete,Municipio
ledana,Municipio
leganiel,Municipio
majadas,Municipio
mariana,Municipio
masegosa,Municipio
mesas,Municipio
minglanilla,Municipio
mira,Municipio
monreal llano,Municipio
montalbanejo,Municipio
montalbo,Municipio
monteagudo salinas,Municipio
mota altarejos,Municipio
mota cuervo,Municipio
motilla palancar,Municipio
moya,Municipio
narboneta,Municipio
olivares jucar,Municipio
olmeda cuesta,Municipio
olmeda,Municipio
olmedilla alarcon,Municipio
olmedilla eliz,Municipio
vega,Municipio
pajaron,Municipio
pajaroncillo,Municipio
palomares campo,Municipio
palomera,Municipio
paracuellos,Municipio
paredes,Municipio
parra vegas,Municipio
pedernoso,Municipio
pedroneras,Municipio
peral,Municipio
peraleja,Municipio
pesquera,Municipio
picazo,Municipio
pinarejo,Municipio
pineda giguela,Municipio
piqueras castillo,Municipio
portalrubio guadamejud,Municipio
portilla,Municipio
poyatos,Municipio
pozoamargo,Municipio
pozorrubielos mancha,Municipio
pozorrubio,Municipio
pozuelo,Municipio
priego,Municipio
provencio,Municipio
puebla almenara,Municipio
puebla francisco,Municipio
puebla salvador,Municipio
quintanar,Municipio
rada haro,Municipio
reillo,Municipio
rozalen monte,Municipio
saceda trasierra,Municipio
saelices,Municipio
salinas manzano,Municipio
salmeroncillos,Municipio
salvacanete,Municipio
clemente,Municipio
lorenzo parrilla,Municipio
martin boniches,Municipio
pedro palmiches,Municipio
santa cruz moya,Municipio
santa maria llanos,Municipio
santa maria campo,Municipio
santa maria,Municipio
sisante,Municipio
solera gabaldon,Municipio
sotorribas,Municipio
talayuelas,Municipio
tarancon,Municipio
tebar,Municipio
tejadillos,Municipio
tinajas,Municipio
torralba,Municipio
torrejoncillo,Municipio
torrubia campo,Municipio
torrubia castillo,Municipio
tragacete,Municipio
tresjuncos,Municipio
tribaldos,Municipio
ucles,Municipio
,Municipio
valdecolmenas,Municipio
valdemeca,Municipio
valdemorillo sierra,Municipio
valdemoro sierra,Municipio
valdeolivas,Municipio
valdetortola,Municipio
valeras,Municipio
valhermoso fuente,Municipio
valsalobre,Municipio
valverde jucar,Municipio
valverdejo,Municipio
vara,Municipio
vega codorno,Municipio
vellisca,Municipio
villaconejos trabaque,Municipio
villaescusa haro,Municipio
villagarcia llano,Municipio
villalba sierra,Municipio
villalba,Municipio
villalgordo marquesado,Municipio
villalpardo,Municipio
villamayor santiago,Municipio
villanueva guadamejud,Municipio
villanueva jara,Municipio
villar canas,Municipio
villar domingo garcia,Municipio
villar encina,Municipio
villar olalla,Municipio
villar humo,Municipio
villar infantado,Municipio
villar velasco,Municipio
villarejo fuentes,Municipio
villarejo penuela,Municipio
villarejo periesteban,Municipio
villares,Municipio
villarrubio,Municipio
villarta,Municipio
villas ventosa,Municipio
villaverde pasaconsol,Municipio
villora,Municipio
vindel,Municipio
yemeda,Municipio
zafra zancara,Municipio
zafrilla,Municipio
zarza tajo,Municipio
zarzuela,Municipio
agullana,Municipio
aiguaviva,Municipio
albanya,Municipio
albons,Municipio
,Municipio
amer,Municipio
angles,Municipio
arbucies,Municipio
argelaguer,Municipio
armentera,Municipio
avinyonet puigventos,Municipio
banyoles,Municipio
bascara,Municipio
begur,Municipio
bellcaire,Municipio
besalu,Municipio
bescano,Municipio
beuda,Municipio
bisbal,Municipio
biure,Municipio
blanes,Municipio
boadella escaules,Municipio
bolvir,Municipio
bordils,Municipio
borrassa,Municipio
breda,Municipio
brunyola,Municipio
cabanelles,Municipio
cabanes,Municipio
cadaques,Municipio
caldes malavella,Municipio
calonge,Municipio
camos,Municipio
campdevanol,Municipio
campelles,Municipio
campllong,Municipio
camprodon,Municipio
canet,Municipio
cantallops,Municipio
capmany,Municipio
cassa selva,Municipio
castellfollit roca,Municipio
castello,Municipio
castell platja,Municipio
cellera,Municipio
celra,Municipio
cervia,Municipio
cistella,Municipio
colera,Municipio
colomers,Municipio
corca,Municipio
cornella terri,Municipio
crespia,Municipio
cruilles monells sant sadurni,Municipio
darnius,Municipio
,Municipio
escala,Municipio
espinelves,Municipio
espolla,Municipio
esponella,Municipio
,Municipio
figueres,Municipio
flaca,Municipio
foixa,Municipio
fontanals cerdanya,Municipio
fontanilles,Municipio
fontcoberta,Municipio
forallac,Municipio
fornells selva,Municipio
fortia,Municipio
garrigas,Municipio
garrigoles,Municipio
garriguella,Municipio
,Municipio
girona,Municipio
gombren,Municipio
gualta,Municipio
guils cerdanya,Municipio
hostalric,Municipio
isovol,Municipio
jafre,Municipio
jonquera,Municipio
juia,Municipio
llado,Municipio
llagostera,Municipio
llambilles,Municipio
llanars,Municipio
llanca,Municipio
llers,Municipio
llivia,Municipio
lloret,Municipio
llosses,Municipio
macanet cabrenys,Municipio
macanet selva,Municipio
